timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544248677457,4358,View map,200,OK,ThreadGroup 1-4,text,true,,3450,472,29,29,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.95%2C+27.47%2C+54.25%2C+27.77%29,4275,0,1
1544248677457,4358,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-4,,true,,3450,472,29,29,null,4275,0,1
1544248677457,4630,View map,200,OK,ThreadGroup 1-6,text,true,,55844,472,29,29,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.93%2C+27.47%2C+54.23%2C+27.77%29,4609,0,1
1544248677456,4630,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-6,,true,,55844,472,29,29,null,4609,2,1
1544248677456,4686,View map,200,OK,ThreadGroup 1-15,text,true,,125990,472,29,29,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.90%2C+27.47%2C+54.20%2C+27.77%29,4663,0,0
1544248677455,4686,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-15,,true,,125990,472,29,29,null,4663,1,0
1544248677453,4750,View map,200,OK,ThreadGroup 1-10,text,true,,272328,472,29,29,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.84%2C+27.47%2C+54.14%2C+27.77%29,4719,0,0
1544248677452,4750,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-10,,true,,272328,472,29,29,null,4719,1,0
1544248677454,4953,View map,200,OK,ThreadGroup 1-5,text,true,,204477,472,30,30,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.87%2C+27.47%2C+54.17%2C+27.77%29,4927,0,1
1544248677453,4953,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-5,,true,,204477,472,30,30,null,4927,1,1
1544248677977,5401,View map,200,OK,ThreadGroup 1-12,text,true,,3094,472,32,32,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.95%2C+27.50%2C+54.25%2C+27.80%29,5338,0,1
1544248677977,5401,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-12,,true,,3094,472,32,32,null,5338,0,1
1544248677975,5559,View map,200,OK,ThreadGroup 1-17,text,true,,49457,472,32,32,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.93%2C+27.50%2C+54.23%2C+27.80%29,5497,0,1
1544248677975,5559,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-17,,true,,49457,472,32,32,null,5497,1,1
1544248677975,5824,View map,200,OK,ThreadGroup 1-8,text,true,,108243,472,32,32,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.90%2C+27.50%2C+54.20%2C+27.80%29,5802,0,0
1544248677974,5824,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-8,,true,,108243,472,32,32,null,5802,2,0
